iter	RMSE
0	0.9887402293
1	0.9801451542
2	0.9736732506
3	0.9652595257
4	0.9585390275
5	0.9517632516
6	0.9451213783
7	0.9387802038
8	0.9308780688
9	0.9240037362
10	0.9184291329
11	0.9122470379
12	0.9065514595
13	0.9012593077
14	0.8967582932
15	0.8915347948
16	0.886534891
17	0.8814673245
18	0.8777094278
19	0.8729810914
20	0.8687162705
21	0.863210652
22	0.8591185977
23	0.8536294944
24	0.8494919418
25	0.8459056687
26	0.841580323
27	0.8368390381
28	0.8330424555
29	0.8298448378
30	0.8261034454
31	0.8225882597
32	0.8193019834
33	0.816658936
34	0.8134544339
35	0.8103034848
36	0.8066276658
37	0.8043053652
38	0.8012952145
39	0.7985445354
40	0.7955560524
41	0.7926966596
42	0.7903449172
43	0.7880862547
44	0.7848843191
45	0.78092977
46	0.7770854609
47	0.7749977896
48	0.77120141
49	0.7682915143
50	0.7658533229
51	0.7626409794
52	0.7603574019
53	0.7577809926
54	0.7551651758
55	0.7530022042
56	0.7508131814
57	0.7484682141
58	0.7465846612
59	0.7444471983
60	0.742345573
61	0.7400630395
62	0.7382607383
63	0.7348886715
64	0.7325602892
65	0.7298184242
66	0.7276671592
67	0.7258533703
68	0.7236558689
69	0.7214513806
70	0.7203989921
71	0.7183178721
72	0.7162358258
73	0.7148873871
74	0.7131722769
75	0.7107013083
76	0.7095563167
77	0.707935444
78	0.7060216349
79	0.7039965563
80	0.7025305538
81	0.7012463478
82	0.6999004037
83	0.6983155879
84	0.6967172107
85	0.6958720652
86	0.6940993029
87	0.6924764625
88	0.6908204792
89	0.6889382409
90	0.6876511618
91	0.6866424861
92	0.6851061871
93	0.6835414598
94	0.6816083802
95	0.6796826741
96	0.6783451678
97	0.6771574869
98	0.6756060477
99	0.674929114
100	0.6731920339
101	0.6716156593
102	0.6702397495
103	0.6684059892
104	0.6660051325
105	0.6645755614
106	0.6630548755
107	0.6621931019
108	0.6611780542
109	0.6603913892
110	0.658675016
111	0.6576159503
112	0.6565377282
113	0.6556046644
114	0.6537684223
115	0.6522291225
116	0.6511440599
117	0.6487011589
118	0.6480440269
119	0.6470464356
120	0.6452973997
121	0.644275577
122	0.643419272
123	0.6420186534
124	0.6412106097
125	0.6399298266
126	0.6385633854
127	0.6379518266
128	0.6373932609
129	0.6364585731
130	0.6359346342
131	0.6347258423
132	0.6335021917
133	0.632280927
134	0.6311605901
135	0.6298728915
136	0.6292128056
137	0.6278442622
138	0.6261796456
139	0.6250231148
140	0.6236018148
141	0.6221116025
142	0.6205240605
143	0.6193319119
144	0.6183342286
145	0.6177558016
146	0.6168263666
147	0.6159771456
148	0.6151327076
149	0.6141093586
150	0.612574281
151	0.610938268
152	0.6095773524
153	0.6088914335
154	0.6078094108
155	0.6061644245
156	0.6049724894
157	0.6040569037
158	0.6033892825
159	0.602747444
160	0.6021586459
161	0.6014052331
162	0.6009087569
163	0.599685756
164	0.5979168279
165	0.5962002381
166	0.5954042806
167	0.594359175
168	0.5939698075
169	0.5931786204
170	0.5917325762
171	0.5910661675
172	0.590348133
173	0.5890266989
174	0.5876975313
175	0.5872423213
176	0.5857462401
177	0.5850050983
178	0.5844949332
179	0.5839264516
180	0.5834049493
181	0.5826841652
182	0.5817487173
183	0.5806855297
184	0.5797768812
185	0.5785003045
186	0.5769398186
187	0.5765696569
188	0.5756194351
189	0.5747389885
190	0.574356026
191	0.5735520369
192	0.572512566
193	0.5713544302
194	0.5706211284
195	0.5700419507
196	0.5694824694
197	0.5684176757
198	0.5672178307
199	0.5660976451
200	0.5655466102
201	0.564870629
202	0.563539751
203	0.5623800698
204	0.561859502
205	0.5612141804
206	0.5598954307
207	0.5595034715
208	0.5582122215
209	0.5562034912
210	0.555296851
211	0.553864798
212	0.5529710417
213	0.5519348788
214	0.5508094975
215	0.5501788815
216	0.5496452387
217	0.5483755005
218	0.5472296444
219	0.5463753434
220	0.545820289
221	0.5453259226
222	0.5445456045
223	0.5434687251
224	0.5426933466
225	0.5416334004
226	0.5410221126
227	0.5399989603
228	0.5391842267
229	0.5387252085
230	0.5376459145
231	0.5369498442
232	0.535829979
233	0.5350564059
234	0.5339358253
235	0.5332816399
236	0.5320409152
237	0.5313618528
238	0.5303871233
239	0.5288501012
240	0.5280766481
241	0.5268497525
242	0.5256766458
243	0.5246544682
244	0.5238794148
245	0.5225105884
246	0.5219794951
247	0.5213678173
248	0.5203363254
249	0.5196282106
250	0.5189718115
251	0.5181945425
252	0.5172573923
253	0.51642461
254	0.5157274599
255	0.5147933188
256	0.5138983309
257	0.5135001582
258	0.5127742447
259	0.5115605571
260	0.5111149871
261	0.5102591017
262	0.5094227397
263	0.5086486276
264	0.5075187285
265	0.5070347566
266	0.5065447228
267	0.5058142068
268	0.5045105482
269	0.5033504634
270	0.5021099059
271	0.5009066784
272	0.5003262797
273	0.4987288776
274	0.4981054017
275	0.4972763174
276	0.4967269844
277	0.4957177275
278	0.4950280161
279	0.4943414509
280	0.4937335107
281	0.4925806126
282	0.4916887229
283	0.4910270579
284	0.4898352952
285	0.488679329
286	0.4874423215
287	0.4863636161
288	0.4856281092
289	0.4845749378
290	0.4835541552
291	0.4820061971
292	0.4802017232
293	0.4793210868
294	0.4785623091
295	0.4772271481
296	0.4764035004
297	0.4755179527
298	0.4741356524
299	0.4728926503
